,meshL_x,meshL_y,meshR_x,meshR_y,ref_x,ref_y,ref_z,disp01_x,disp01_y,disp01_z,disp01
0,456.0,173.0,500.66882,214.84769,-5.9599156,-6.7586927,35.22055,-0.30261326,-0.25699997,1.128849,1.1966302
1,476.0,173.0,515.73944,212.83118,-5.815153,-6.7641497,35.246693,-0.3056407,-0.25802565,1.1441803,1.2120817
2,497.0,173.0,532.23114,210.85818,-5.66427,-6.7706914,35.282307,-0.3074565,-0.26152802,1.1542015,1.2227459
3,517.0,173.0,548.0558,209.05562,-5.520397,-6.7766848,35.31685,-0.30586147,-0.25768661,1.1420784,1.2100812
4,537.0,173.0,564.09155,206.98387,-5.3764644,-6.784073,35.35333,-0.30718184,-0.2607832,1.1494064,1.2179917
5,557.0,173.0,580.1909,205.03903,-5.232237,-6.7908874,35.389675,-0.30747032,-0.260808,1.1494713,1.218131
6,578.0,173.0,597.025,202.94263,-5.0801625,-6.797864,35.42581,-0.30804443,-0.2610178,1.1511383,1.2198938
7,598.0,173.0,613.20544,200.96783,-4.93518,-6.804558,35.461227,-0.30849504,-0.26115847,1.1521988,1.2210386
8,618.0,173.0,629.4985,198.99364,-4.789972,-6.811304,35.49717,-0.30896187,-0.26191664,1.1537857,1.2228161
9,638.0,173.0,645.9106,197.04605,-4.644548,-6.818013,35.533726,-0.30922174,-0.26138115,1.1537781,1.22276
10,659.0,173.0,663.1413,194.95323,-4.4913683,-6.8250117,35.570984,-0.30861616,-0.2598195,1.1469879,1.2158666
11,679.0,173.0,679.58124,192.85156,-4.3450723,-6.8319592,35.605827,-0.30997133,-0.2616105,1.155468,1.2245932
12,699.0,173.0,696.19055,190.80399,-4.198647,-6.838873,35.641933,-0.31028938,-0.26170063,1.1561966,1.2253805
13,720.0,173.0,713.70764,188.64777,-4.0445647,-6.8461037,35.679783,-0.3106351,-0.26180792,1.1569977,1.2262468
14,740.0,173.0,730.43604,186.53705,-3.8974457,-6.853098,35.715374,-0.31105375,-0.26191854,1.1578941,1.2272223
15,456.0,193.0,502.6318,233.0172,-5.9645014,-6.61476,35.24772,-0.30564642,-0.2604661,1.1461525,1.2144661
16,476.0,193.0,517.8393,230.97171,-5.819915,-6.620717,35.275715,-0.3062315,-0.25767803,1.1469994,1.2148182
17,497.0,193.0,534.4489,228.99072,-5.669146,-6.6276,35.312923,-0.3064766,-0.26071882,1.1479988,1.2164717
18,517.0,193.0,550.5199,227.04451,-5.525627,-6.6347876,35.35083,-0.30688524,-0.26084852,1.1489639,1.2175133
19,537.0,193.0,566.3122,225.20537,-5.3810763,-6.6406717,35.38391,-0.30756664,-0.26056767,1.1511688,1.2197059
20,557.0,193.0,582.3528,223.28607,-5.2365904,-6.6472635,35.419422,-0.30774927,-0.2610855,1.1507874,1.2195027
21,578.0,193.0,599.2678,221.27005,-5.084547,-6.6541357,35.45663,-0.30819607,-0.26122808,1.1517181,1.2205243
22,598.0,193.0,615.46674,219.34036,-4.939463,-6.660714,35.49226,-0.30863237,-0.26132154,1.1526642,1.2215472
23,618.0,193.0,631.8806,217.36227,-4.7943316,-6.6677847,35.52982,-0.30908203,-0.26166964,1.1542778,1.2232579
24,638.0,193.0,648.1157,215.45096,-4.648444,-6.6739516,35.563923,-0.30934238,-0.26157284,1.1542358,1.2232634
25,659.0,193.0,665.214,213.32416,-4.494877,-6.680803,35.599346,-0.3099146,-0.26166964,1.1565666,1.2256281
26,679.0,193.0,681.9073,211.39175,-4.34891,-6.687693,35.637596,-0.31008387,-0.26178598,1.1558914,1.2250587
27,699.0,193.0,698.4963,209.39206,-4.202313,-6.6943917,35.67339,-0.31049395,-0.26196337,1.1568718,1.2261255
28,720.0,193.0,716.0153,207.29008,-4.048091,-6.7014365,35.71122,-0.3108244,-0.26196718,1.157505,1.2268075
29,740.0,193.0,732.77844,205.27586,-3.9008982,-6.7081537,35.747242,-0.31119466,-0.2620492,1.1582718,1.2276422
30,760.0,193.0,749.6048,203.24562,-3.7533786,-6.714862,35.78307,-0.31155944,-0.26214695,1.1590233,1.2284646
31,780.0,193.0,766.5264,201.2266,-3.605584,-6.7215257,35.81912,-0.3118434,-0.26224566,1.1596489,1.2291479
32,801.0,193.0,784.41144,199.07149,-3.4501073,-6.7286954,35.85741,-0.31213045,-0.2623129,1.1602554,1.2298074
33,821.0,193.0,801.53424,196.99466,-3.301725,-6.7355976,35.893982,-0.31240702,-0.26239872,1.1608925,1.2304969
34,841.0,193.0,818.7308,194.93398,-3.1530313,-6.742381,35.93047,-0.31271482,-0.26248455,1.1616058,1.2312664
35,861.0,193.0,836.0072,192.83235,-3.0040205,-6.7492843,35.96694,-0.31299758,-0.26256037,1.16222,1.2319337
36,882.0,193.0,854.24786,190.62454,-2.8472426,-6.7565227,36.00541,-0.31328106,-0.26265478,1.1627464,1.2325226
37,902.0,193.0,871.7129,188.52373,-2.6976244,-6.763387,36.04216,-0.3135538,-0.2626829,1.1632347,1.2330586
38,922.0,193.0,889.26666,186.40352,-2.547699,-6.770302,36.07899,-0.3137629,-0.26269245,1.1636505,1.233506
39,943.0,193.0,907.7911,184.15157,-2.3899407,-6.7776256,36.117706,-0.31395316,-0.26275063,1.1640587,1.2339518
40,963.0,193.0,925.52954,182.00304,-2.2393851,-6.784595,36.15471,-0.31423283,-0.26284933,1.1646805,1.2346306
41,983.0,193.0,943.369,179.8554,-2.0885315,-6.7915573,36.191925,-0.31446648,-0.26292038,1.1652374,1.2352306
42,1003.0,193.0,961.2984,177.68613,-1.9373636,-6.7985725,36.229206,-0.31457496,-0.26291466,1.1654587,1.2354656
43,1024.0,193.0,980.2139,175.39673,-1.7782956,-6.8059306,36.268307,-0.31483066,-0.2629652,1.1659508,1.2360058
44,1044.0,193.0,998.3376,173.19724,-1.6264895,-6.813015,36.305805,-0.31501114,-0.2630148,1.1663322,1.2364222
45,1064.0,193.0,1016.5523,170.97617,-1.4743652,-6.8201485,36.343353,-0.31520295,-0.26307678,1.1666527,1.2367865
46,1084.0,193.0,1034.8481,168.7727,-1.3219265,-6.827153,36.380802,-0.3153745,-0.2630725,1.1669693,1.237128
47,1105.0,193.0,1054.1698,166.43576,-1.1615286,-6.8345876,36.420326,-0.31556332,-0.26304674,1.1672325,1.2374189
48,1125.0,193.0,1072.6757,164.18335,-1.0084431,-6.8417544,36.45813,-0.3157289,-0.2630558,1.1674995,1.237715
49,476.0,214.0,517.75806,249.46202,-5.819558,-6.4668274,35.27469,-0.3063531,-0.2609496,1.1486778,1.2171309
50,497.0,214.0,534.9547,249.00742,-5.6704373,-6.4688888,35.319916,-0.30742168,-0.26175737,1.1522522,1.2209464
51,537.0,214.0,568.44977,245.34285,-5.385747,-6.4853168,35.41335,-0.30875683,-0.26228333,1.1554184,1.2243835
52,557.0,214.0,584.2559,244.07405,-5.2407894,-6.4887595,35.445576,-0.3090868,-0.26224756,1.1558075,1.2248263
53,578.0,214.0,600.71906,241.44682,-5.087581,-6.4971023,35.47659,-0.31026793,-0.2630601,1.1618423,1.2309933
54,598.0,214.0,617.2715,239.26678,-4.9430203,-6.505542,35.51706,-0.30934572,-0.26156855,1.1535378,1.2226048
55,618.0,214.0,633.5064,237.17593,-4.7974114,-6.51268,35.552162,-0.30933905,-0.26226187,1.1524544,1.2217295
56,638.0,214.0,649.6596,234.61917,-4.6511207,-6.521299,35.585155,-0.3102274,-0.26227665,1.1570816,1.226323
57,659.0,214.0,668.0068,233.1409,-4.4997587,-6.5284414,35.63755,-0.3109889,-0.26242018,1.159935,1.2292386
58,679.0,214.0,683.67596,231.29932,-4.351919,-6.5326395,35.66181,-0.31078196,-0.26152658,1.1566124,1.2258605
59,699.0,214.0,700.6363,230.52545,-4.206087,-6.5352993,35.702576,-0.3111062,-0.2620511,1.1577568,1.2271343
60,720.0,214.0,717.9981,227.15967,-4.0511847,-6.547089,35.738297,-0.31129694,-0.2603774,1.1568985,1.2260165
61,740.0,214.0,735.14154,224.34946,-3.904246,-6.5578885,35.779476,-0.31084228,-0.25655413,1.1487656,1.2174175
62,760.0,214.0,751.6949,223.79573,-3.7565246,-6.558103,35.81151,-0.31235504,-0.26220322,1.161377,1.2308991
63,780.0,214.0,768.9885,221.20111,-3.6089723,-6.5679426,35.85258,-0.3125162,-0.2623539,1.1612015,1.2308066
64,801.0,214.0,786.4964,218.76544,-3.4527721,-6.575406,35.885754,-0.31248927,-0.26167774,1.1589813,1.2285612
65,821.0,214.0,803.54834,216.82387,-3.3041978,-6.5816393,35.92134,-0.3126917,-0.26178646,1.1590233,1.2286755
66,841.0,214.0,820.42804,215.05508,-3.1550636,-6.586579,35.953526,-0.31350875,-0.26384974,1.1659164,1.2358259
67,861.0,214.0,837.7704,213.37386,-3.0061135,-6.591998,35.99084,-0.31342053,-0.26309633,1.1632385,1.2331164
68,882.0,214.0,856.0039,211.5333,-2.8492928,-6.597805,36.029175,-0.31369376,-0.26318312,1.1641731,1.234086
69,902.0,214.0,873.6944,209.22119,-2.69974,-6.606049,36.068928,-0.31391478,-0.26317406,1.1644936,1.2344425
70,922.0,214.0,891.1002,207.32938,-2.5495985,-6.611767,36.10375,-0.31405306,-0.26300097,1.1645775,1.23452
71,943.0,214.0,909.85767,204.7453,-2.3918471,-6.62096,36.145554,-0.31434083,-0.26292992,1.1651726,1.2351395
72,963.0,214.0,927.6948,202.56825,-2.2412355,-6.6282983,36.18384,-0.31456828,-0.26318884,1.1657181,1.235767
73,983.0,214.0,945.6796,200.5302,-2.0903835,-6.6351876,36.222954,-0.31469965,-0.26325464,1.1659088,1.2359945
74,1003.0,214.0,963.7155,198.26706,-1.939125,-6.642842,36.261612,-0.3148588,-0.26321125,1.1662674,1.236364
75,1024.0,214.0,982.61005,195.8734,-1.7798598,-6.6505976,36.300396,-0.3151474,-0.2631855,1.1666298,1.2367738
76,1044.0,214.0,1000.82965,193.618,-1.6279485,-6.6581454,36.339127,-0.31532347,-0.2632308,1.1669312,1.2371126
77,1064.0,214.0,1019.0814,191.5234,-1.4757192,-6.6648993,36.377117,-0.31537962,-0.26328754,1.1671829,1.2373766
78,1084.0,214.0,1037.3856,189.4288,-1.323153,-6.6715326,36.414635,-0.3155738,-0.2633314,1.1675186,1.237752
79,1105.0,214.0,1056.6907,187.08418,-1.1625812,-6.678995,36.453896,-0.31589913,-0.2633276,1.1679459,1.2382371
80,1125.0,214.0,1075.2483,184.88206,-1.0093712,-6.6861143,36.492336,-0.31606948,-0.26336002,1.1681519,1.2384818
81,1145.0,214.0,1093.9528,182.70438,-0.85586196,-6.693219,36.531517,-0.316114,-0.26332855,1.1684113,1.2387311
82,1165.0,214.0,1112.5522,180.47859,-0.70196074,-6.700036,36.56812,-0.31619257,-0.26332998,1.1686211,1.2389494
83,1186.0,214.0,1132.2949,178.12912,-0.5400545,-6.707445,36.60805,-0.31633997,-0.26335812,1.1687508,1.2391154
84,1206.0,214.0,1151.1434,175.84933,-0.38551357,-6.714513,36.645447,-0.3164424,-0.2633252,1.168827,1.2392064
85,1226.0,214.0,1170.0936,173.58261,-0.23066272,-6.721503,36.68294,-0.31655896,-0.26331282,1.1689377,1.2393379
86,1247.0,214.0,1190.0956,171.21207,-0.06773298,-6.7287655,36.72236,-0.3166851,-0.26333332,1.1689987,1.2394321
87,1267.0,214.0,1209.2822,168.92387,0.08776896,-6.7358403,36.760414,-0.31679785,-0.26332283,1.169117,1.2395703
88,1287.0,214.0,1228.602,166.63629,0.24359286,-6.7429485,36.798958,-0.316894,-0.26330805,1.1691666,1.2396384
89,1307.0,214.0,1247.9963,164.34592,0.39973798,-6.7499747,36.837208,-0.31688946,-0.26326513,1.1690903,1.2395562
90,1328.0,214.0,1268.4816,161.91159,0.56404585,-6.757451,36.87759,-0.31696868,-0.26322746,1.1691246,1.2396008
